Id,date,weight_kg_rounded,sleep_minutes,total_time_in_bed,time_in_bed_not_sleeping,TotalSteps,total_distance_rounded_km,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,activity_level_steps
8877689391,2016-04-12,85.8,,,,23186,20.4,3921,85,7,312,1036,Extremely High Activity
8877689391,2016-04-13,84.9,,,,15337,9.58,3566,108,18,216,1098,Extremely High Activity
8877689391,2016-04-14,84.5,,,,21129,18.98,3793,68,13,298,1061,Extremely High Activity
8877689391,2016-04-15,,,,,13422,7.17,3934,106,1,281,1052,Extremely High Activity
8877689391,2016-04-16,85.5,,,,29326,25.29,4547,94,29,429,888,Extremely High Activity
8877689391,2016-04-17,,,,,15118,8.87,3545,58,15,307,1060,Extremely High Activity
8877689391,2016-04-18,85.8,,,,11423,8.67,2761,29,5,191,1215,High Activity
8877689391,2016-04-19,85.3,,,,18785,17.4,3676,82,13,214,1131,Extremely High Activity
8877689391,2016-04-20,84.9,,,,19948,18.11,3679,73,19,225,1123,Extremely High Activity
8877689391,2016-04-21,84.5,,,,19377,17.62,3659,82,13,226,1119,Extremely High Activity
8877689391,2016-04-22,,,,,18258,16.31,3427,61,2,236,1141,Extremely High Activity
8877689391,2016-04-23,85.5,,,,11200,7.43,3891,102,6,300,1032,High Activity
8877689391,2016-04-24,85.5,,,,16674,15.74,3455,64,1,227,1148,Extremely High Activity
8877689391,2016-04-25,85.4,,,,12986,8.74,3802,113,8,218,1101,Extremely High Activity
8877689391,2016-04-26,85.1,,,,11101,8.43,2860,22,3,258,1157,High Activity
8877689391,2016-04-27,85.4,,,,23629,20.65,3808,93,8,235,1104,Extremely High Activity
8877689391,2016-04-28,85.1,,,,14890,11.3,3060,58,8,231,1143,Extremely High Activity
8877689391,2016-04-29,84.9,,,,9733,7.39,2698,18,5,210,1207,High Activity
8877689391,2016-04-30,85.5,,,,27745,26.72,4398,124,4,223,1089,Extremely High Activity
8877689391,2016-05-01,85.3,,,,10930,8.32,2786,36,12,166,1226,High Activity
8877689391,2016-05-02,,,,,4790,3.64,2189,0,0,105,1335,Low Activity
8877689391,2016-05-03,84.9,,,,10818,8.21,2817,19,3,229,1189,High Activity
8877689391,2016-05-04,84.4,,,,18193,16.3,3477,66,8,212,1154,Extremely High Activity
8877689391,2016-05-05,,,,,14055,10.67,3052,67,15,188,1170,Extremely High Activity
8877689391,2016-05-06,85.0,,,,21727,19.34,4015,96,17,232,1095,Extremely High Activity
8877689391,2016-05-07,,,,,12332,8.13,4142,105,28,271,1036,Extremely High Activity
8877689391,2016-05-08,85.4,,,,10686,8.11,2847,17,4,245,1174,High Activity
